rowid,kepler_name,koi_period,koi_prad,koi_teq,koi_insol
6798,,436.42852,1.26,245.0,0.86
6808,,545.205601,1.66,257.0,1.03
6818,,398.51312,1.23,222.0,0.58
6819,,559.785594,1.88,249.0,0.92
6827,,371.54879,1.13,230.0,0.66
6828,,226.499243,0.89,245.0,0.86
6829,,251.48808,1.74,284.0,1.55
6836,,344.961485,1.61,230.0,0.66
6848,,419.93373,1.82,285.0,1.57
6849,,322.221973,2.18,277.0,1.4
6861,,364.18129,1.78,209.0,0.45
6866,,452.40428,1.58,256.0,1.01
6872,,114.406187,2.42,267.0,1.21
6873,,132.114,0.75,217.0,0.52
6876,,287.33114,2.07,266.0,1.18
6880,,211.54114,1.88,251.0,0.94
6881,,88.523517,1.6,209.0,0.45
6886,,588.63759,1.52,185.0,0.28
6889,,190.860818,1.84,273.0,1.32
6890,,374.41813,2.42,280.0,1.44
6891,,263.30198,2.19,308.0,2.11
6893,,405.6296,1.4,216.0,0.52
6896,,434.28175,1.94,212.0,0.48
6908,,486.12702,1.18,249.0,0.91
6927,,527.29093,1.3,216.0,0.51
7004,,485.92297,1.07,225.0,0.61
7042,,87.707513,1.72,310.0,2.2
